route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
riga_bus_2,31305,1,"Vecmīlgrāvis",0,219467,riga_bus_2_a-b,
riga_bus_2,31305,2,"Vecmīlgrāvis",0,219469,riga_bus_2_a-b,
riga_bus_2,31305,3,"Vecmīlgrāvis",0,219472,riga_bus_2_a-b,
riga_bus_2,31305,4,"Vecmīlgrāvis",0,219471,riga_bus_2_a-b,
riga_bus_2,31305,5,"Vecmīlgrāvis",0,219467,riga_bus_2_a-b,
riga_bus_2,31305,6,"Vecmīlgrāvis",0,219469,riga_bus_2_a-b,
riga_bus_2,31305,7,"Vecmīlgrāvis",0,219472,riga_bus_2_a-b,
riga_bus_2,31305,8,"Vecmīlgrāvis",0,219471,riga_bus_2_a-b,
riga_bus_2,31305,9,"Vecmīlgrāvis",0,219468,riga_bus_2_a-b,
riga_bus_2,31305,10,"Vecmīlgrāvis",0,219467,riga_bus_2_a-b,
riga_bus_2,31305,11,"Vecmīlgrāvis",0,219470,riga_bus_2_a-b,
riga_bus_2,31305,12,"Vecmīlgrāvis",0,219469,riga_bus_2_a-b,
riga_bus_2,31305,13,"Vecmīlgrāvis",0,219472,riga_bus_2_a-b,
riga_bus_2,31305,14,"Vecmīlgrāvis",0,219471,riga_bus_2_a-b,
riga_bus_2,31305,15,"Vecmīlgrāvis",0,219468,riga_bus_2_a-b,
riga_bus_2,31306,16,"Vecmīlgrāvis",0,219474,riga_bus_2_a-b,
riga_bus_2,31306,17,"Vecmīlgrāvis",0,219478,riga_bus_2_a-b,
riga_bus_2,31306,18,"Vecmīlgrāvis",0,219473,riga_bus_2_a-b,
riga_bus_2,31306,19,"Vecmīlgrāvis",0,219476,riga_bus_2_a-b,
riga_bus_2,31306,20,"Vecmīlgrāvis",0,219477,riga_bus_2_a-b,
riga_bus_2,31306,21,"Vecmīlgrāvis",0,219479,riga_bus_2_a-b,
riga_bus_2,31306,22,"Vecmīlgrāvis",0,219475,riga_bus_2_a-b,
riga_bus_2,31305,23,"Vecmīlgrāvis",0,219470,riga_bus_2_a-b,
riga_bus_2,31305,24,"Vecmīlgrāvis",0,219469,riga_bus_2_a-b,
riga_bus_2,31305,25,"Vecmīlgrāvis",0,219472,riga_bus_2_a-b,
riga_bus_2,31305,26,"Vecmīlgrāvis",0,219471,riga_bus_2_a-b,
riga_bus_2,31305,27,"Vecmīlgrāvis",0,219468,riga_bus_2_a-b,
riga_bus_2,31306,28,"Vecmīlgrāvis",0,219474,riga_bus_2_a-b,
riga_bus_2,31306,29,"Vecmīlgrāvis",0,219478,riga_bus_2_a-b,
riga_bus_2,31306,30,"Vecmīlgrāvis",0,219473,riga_bus_2_a-b,
riga_bus_2,31306,31,"Vecmīlgrāvis",0,219476,riga_bus_2_a-b,
riga_bus_2,31306,32,"Vecmīlgrāvis",0,219477,riga_bus_2_a-b,
riga_bus_2,31306,33,"Vecmīlgrāvis",0,219474,riga_bus_2_a-b,
riga_bus_2,31305,34,"Vecmīlgrāvis",0,219470,riga_bus_2_a-b,
riga_bus_2,31305,35,"Vecmīlgrāvis",0,219469,riga_bus_2_a-b,
riga_bus_2,31306,36,"Vecmīlgrāvis",0,219477,riga_bus_2_a-b,
riga_bus_2,31306,37,"Vecmīlgrāvis",0,219474,riga_bus_2_a-b,
riga_bus_2,31305,38,"Vecmīlgrāvis",0,219470,riga_bus_2_a-b,
riga_bus_2,31306,39,"Vecmīlgrāvis",0,219477,riga_bus_2_a-b,
riga_bus_2,30890,40,"Vecmīlgrāvis",0,217117,riga_bus_2_a-b,
riga_bus_2,30890,41,"Vecmīlgrāvis",0,217120,riga_bus_2_a-b,
riga_bus_2,30890,42,"Vecmīlgrāvis",0,217121,riga_bus_2_a-b,
riga_bus_2,30890,43,"Vecmīlgrāvis",0,217122,riga_bus_2_a-b,
riga_bus_2,30890,44,"Vecmīlgrāvis",0,217123,riga_bus_2_a-b,
riga_bus_2,30890,45,"Vecmīlgrāvis",0,217124,riga_bus_2_a-b,
riga_bus_2,30890,46,"Vecmīlgrāvis",0,217117,riga_bus_2_a-b,
riga_bus_2,30890,47,"Vecmīlgrāvis",0,217119,riga_bus_2_a-b,
riga_bus_2,30890,48,"Vecmīlgrāvis",0,217120,riga_bus_2_a-b,
riga_bus_2,30890,49,"Vecmīlgrāvis",0,217125,riga_bus_2_a-b,
riga_bus_2,30890,50,"Vecmīlgrāvis",0,217118,riga_bus_2_a-b,
riga_bus_2,30890,51,"Vecmīlgrāvis",0,217123,riga_bus_2_a-b,
riga_bus_2,30890,52,"Vecmīlgrāvis",0,217124,riga_bus_2_a-b,
riga_bus_2,30890,53,"Vecmīlgrāvis",0,217117,riga_bus_2_a-b,
riga_bus_2,30890,54,"Vecmīlgrāvis",0,217119,riga_bus_2_a-b,
riga_bus_2,30890,55,"Vecmīlgrāvis",0,217120,riga_bus_2_a-b,
riga_bus_2,30890,56,"Vecmīlgrāvis",0,217123,riga_bus_2_a-b,
riga_bus_2,30890,57,"Vecmīlgrāvis",0,217124,riga_bus_2_a-b,
riga_bus_2,30890,58,"Vecmīlgrāvis",0,217117,riga_bus_2_a-b,
riga_bus_2,30890,59,"Vecmīlgrāvis",0,217119,riga_bus_2_a-b,
riga_bus_2,30890,60,"Vecmīlgrāvis",0,217120,riga_bus_2_a-b,
riga_bus_2,30890,61,"Vecmīlgrāvis",0,217123,riga_bus_2_a-b,
riga_bus_2,30890,62,"Vecmīlgrāvis",0,217124,riga_bus_2_a-b,
